userId,latitude,longitude,utcTimestamp
87,40.74010383,-73.98965836,Tue Apr 03 18:03:00 +0000 2012
484,40.69042712,-73.95468678,Tue Apr 03 18:04:00 +0000 2012
642,40.75159143,-73.9741214,Tue Apr 03 18:04:38 +0000 2012
87,40.74348254,-73.994009,Tue Apr 03 18:07:15 +0000 2012
445,40.82678954,-73.94950924,Tue Apr 03 18:10:39 +0000 2012
135,40.75527488,-73.97880614,Tue Apr 03 18:11:04 +0000 2012
895,40.906627,-73.777774,Tue Apr 03 18:11:16 +0000 2012
704,40.73067679,-74.0656718,Tue Apr 03 18:11:35 +0000 2012
284,40.74281621,-74.00040611,Tue Apr 03 18:12:27 +0000 2012
689,40.74186151,-73.98943363,Tue Apr 03 18:15:05 +0000 2012
32,40.74773817,-73.98519815,Tue Apr 03 18:15:33 +0000 2012
398,40.77615805,-73.82361593,Tue Apr 03 18:23:40 +0000 2012
751,40.727612,-74.007306,Tue Apr 03 18:24:51 +0000 2012
280,40.73971083,-73.98251798,Tue Apr 03 18:35:31 +0000 2012
612,40.76260087,-73.9660057,Tue Apr 03 18:42:25 +0000 2012
80,40.67919,-73.995548,Tue Apr 03 18:43:53 +0000 2012
639,40.77536339,-73.955705,Tue Apr 03 18:48:57 +0000 2012
713,40.745245,-73.982692,Tue Apr 03 18:51:03 +0000 2012
628,40.83162209,-74.13679361,Tue Apr 03 19:01:40 +0000 2012
504,40.71528089,-74.03639537,Tue Apr 03 19:03:38 +0000 2012
226,40.75821277,-73.98682594,Tue Apr 03 19:03:47 +0000 2012
235,40.74546291,-73.99098305,Tue Apr 03 19:07:59 +0000 2012
713,40.74404465,-73.98373696,Tue Apr 03 19:09:49 +0000 2012
706,40.67755881,-73.7445248,Tue Apr 03 19:11:04 +0000 2012
1005,40.7228417,-73.99411647,Tue Apr 03 19:14:31 +0000 2012
706,40.68006413,-73.76161876,Tue Apr 03 19:14:34 +0000 2012
706,40.68083,-73.76331,Tue Apr 03 19:15:04 +0000 2012
406,40.72828342,-73.987885,Tue Apr 03 19:17:24 +0000 2012
751,40.72862394,-74.005252,Tue Apr 03 19:18:58 +0000 2012
303,40.77834721,-73.980903,Tue Apr 03 19:19:54 +0000 2012
294,40.74277821,-73.99833798,Tue Apr 03 19:26:11 +0000 2012
950,40.840306,-74.04756322,Tue Apr 03 19:26:31 +0000 2012
1055,40.78280364,-73.95175936,Tue Apr 03 19:27:54 +0000 2012
69,40.71285903,-73.87741936,Tue Apr 03 19:34:56 +0000 2012
7,40.774111,-73.959546,Tue Apr 03 19:35:38 +0000 2012
592,40.73652697,-73.99055958,Tue Apr 03 19:36:05 +0000 2012
272,40.7257302,-73.79252672,Tue Apr 03 19:42:24 +0000 2012
591,40.72555133,-73.99476528,Tue Apr 03 19:43:04 +0000 2012
281,40.747048,-74.15257037,Tue Apr 03 19:50:48 +0000 2012
557,40.7495279,-73.9947032,Tue Apr 03 19:51:07 +0000 2012
573,40.83260434,-73.86046496,Tue Apr 03 20:03:56 +0000 2012
346,40.925826,-73.835898,Tue Apr 03 20:04:18 +0000 2012
865,40.69754695,-73.99300314,Tue Apr 03 20:07:29 +0000 2012
885,40.70964742,-74.0105173,Tue Apr 03 20:10:51 +0000 2012
880,40.78986319,-73.94593309,Tue Apr 03 20:11:54 +0000 2012
592,40.703253,-74.01422739,Tue Apr 03 20:15:34 +0000 2012
267,40.86812592,-73.82576466,Tue Apr 03 20:15:46 +0000 2012
615,40.72741096,-73.9847218,Tue Apr 03 20:16:59 +0000 2012
445,40.731786,-73.983701,Tue Apr 03 20:21:06 +0000 2012
516,40.75884666,-73.98955107,Tue Apr 03 20:21:12 +0000 2012
528,40.57562689,-73.9832985,Tue Apr 03 20:22:14 +0000 2012
246,40.76050819,-73.96744635,Tue Apr 03 20:25:40 +0000 2012
498,40.62643564,-74.01344956,Tue Apr 03 20:31:56 +0000 2012
528,40.57715366,-73.9812037,Tue Apr 03 20:37:20 +0000 2012
313,40.76170986,-73.96013969,Tue Apr 03 20:37:25 +0000 2012
798,40.82720715,-73.92603063,Tue Apr 03 20:39:38 +0000 2012
598,40.7394648,-74.00265604,Tue Apr 03 20:40:33 +0000 2012
623,40.702345,-73.9906849,Tue Apr 03 20:43:37 +0000 2012
662,40.71800153,-73.9902829,Tue Apr 03 20:45:37 +0000 2012
662,40.71800153,-73.9902829,Tue Apr 03 20:46:44 +0000 2012
691,40.745192,-74.219411,Tue Apr 03 20:46:53 +0000 2012
107,40.76504877,-73.81954351,Tue Apr 03 20:49:59 +0000 2012
107,40.76528966,-73.81984794,Tue Apr 03 20:51:27 +0000 2012
702,40.6941573,-73.99187258,Tue Apr 03 20:55:45 +0000 2012
121,40.74201604,-74.00516337,Tue Apr 03 21:14:08 +0000 2012
318,40.74774465,-73.98530245,Tue Apr 03 21:14:51 +0000 2012
225,40.7382971,-73.878961,Tue Apr 03 21:16:01 +0000 2012
340,40.729369,-73.998868,Tue Apr 03 21:18:47 +0000 2012
1034,40.73702363,-73.98658126,Tue Apr 03 21:22:18 +0000 2012
528,40.71278478,-73.98929358,Tue Apr 03 21:23:10 +0000 2012
528,40.71293259,-73.98744202,Tue Apr 03 21:23:52 +0000 2012
645,40.7373,-74.03744,Tue Apr 03 21:24:48 +0000 2012
645,40.73729142,-74.03733633,Tue Apr 03 21:26:58 +0000 2012
758,40.6727551,-73.775631,Tue Apr 03 21:28:09 +0000 2012
